01. Ano,02. Nome País (Europa),03. Nome Região (Portugal),04. Indicador,05. Filtro 1,06. Filtro 2,07. Filtro 3,08. Escala,09. Símbolo,10. Valor
1997,Eslováquia,,PIB per capita,,,, euros por pessoa,,3610
1997,Eslovénia,,PIB per capita,,,, euros por pessoa,,9210
1997,Espanha,,PIB per capita,,,, euros por pessoa,,13000
1997,Estónia,,PIB per capita,,,, euros por pessoa,,3240
1997,Finlândia,,PIB per capita,,,, euros por pessoa,,21790
1997,França,,PIB per capita,,,, euros por pessoa,,21390
1997,Grécia,,PIB per capita,,,, euros por pessoa,,11490
1997,Hungria,,PIB per capita,,,, euros por pessoa,,4070
1997,Irlanda,,PIB per capita,,,, euros por pessoa,,19950
1997,Itália,,PIB per capita,,,, euros por pessoa,,19320
1997,Letónia,,PIB per capita,,,, euros por pessoa,,2300
1997,Lituânia,,PIB per capita,,,, euros por pessoa,,2510
1997,Luxemburgo,,PIB per capita,,,, euros por pessoa,,41130
1997,Malta,,PIB per capita,,,, euros por pessoa,,8900
1997,Países Baixos,,PIB per capita,,,, euros por pessoa,,23600
1997,Polónia,,PIB per capita,,,, euros por pessoa,,3690
1997,Portugal,,PIB per capita,,,, euros por pessoa,,10220
1997,Roménia,,PIB per capita,,,, euros por pessoa,,1390
1997,Suécia,,PIB per capita,,,, euros por pessoa,,26760
1998,,Portugal,PIB per capita,,,, euros por pessoa,,10960
1998,Alemanha,,PIB per capita,,,, euros por pessoa,,24660
1998,Áustria,,PIB per capita,,,, euros por pessoa,,24310
1998,Bélgica,,PIB per capita,,,, euros por pessoa,,22640
1998,Bulgária,,PIB per capita,,,, euros por pessoa,,1630
1998,Chéquia,,PIB per capita,,,, euros por pessoa,,5840
1998,Chipre,,PIB per capita,,,, euros por pessoa,,13480
1998,Croácia,,PIB per capita,,,, euros por pessoa,,5060
1998,Dinamarca,,PIB per capita,,,, euros por pessoa,,29800
1998,Eslováquia,,PIB per capita,,,, euros por pessoa,,3790
1998,Eslovénia,,PIB per capita,,,, euros por pessoa,,9940
1998,Espanha,,PIB per capita,,,, euros por pessoa,,13750
1998,Estónia,,PIB per capita,,,, euros por pessoa,,3640
1998,Finlândia,,PIB per capita,,,, euros por pessoa,,23230
1998,França,,PIB per capita,,,, euros por pessoa,,22280
1998,Grécia,,PIB per capita,,,, euros por pessoa,,11640
1998,Hungria,,PIB per capita,,,, euros por pessoa,,4230
1998,Irlanda,,PIB per capita,,,, euros por pessoa,,21690
1998,Itália,,PIB per capita,,,, euros por pessoa,,19980
1998,Letónia,,PIB per capita,,,, euros por pessoa,,2590
1998,Lituânia,,PIB per capita,,,, euros por pessoa,,2840
1998,Luxemburgo,,PIB per capita,,,, euros por pessoa,,42350
1998,Malta,,PIB per capita,,,, euros por pessoa,,9480
1998,Países Baixos,,PIB per capita,,,, euros por pessoa,,24960
1998,Polónia,,PIB per capita,,,, euros por pessoa,,4060
1998,Portugal,,PIB per capita,,,, euros por pessoa,,10890
1998,Roménia,,PIB per capita,,,, euros por pessoa,,1650
1998,Suécia,,PIB per capita,,,, euros por pessoa,,27290
1999,,Portugal,PIB per capita,,,, euros por pessoa,,11705
1999,Alemanha,,PIB per capita,,,, euros por pessoa,,25510
1999,Áustria,,PIB per capita,,,, euros por pessoa,,25410
1999,Bélgica,,PIB per capita,,,, euros por pessoa,,23690
1999,Bulgária,,PIB per capita,,,, euros por pessoa,,1560
1999,Chéquia,,PIB per capita,,,, euros por pessoa,,5980
1999,Chipre,,PIB per capita,,,, euros por pessoa,,14330
1999,Croácia,,PIB per capita,,,, euros por pessoa,,4920
1999,Dinamarca,,PIB per capita,,,, euros por pessoa,,31370
1999,Eslováquia,,PIB per capita,,,, euros por pessoa,,3620
1999,Eslovénia,,PIB per capita,,,, euros por pessoa,,10650
1999,Espanha,,PIB per capita,,,, euros por pessoa,,14740
1999,Estónia,,PIB per capita,,,, euros por pessoa,,3920
1999,Finlândia,,PIB per capita,,,, euros por pessoa,,24560
1999,França,,PIB per capita,,,, euros por pessoa,,23120
1999,Grécia,,PIB per capita,,,, euros por pessoa,,12510
1999,Hungria,,PIB per capita,,,, euros por pessoa,,4510
1999,Irlanda,,PIB per capita,,,, euros por pessoa,,24710
1999,Itália,,PIB per capita,,,, euros por pessoa,,20690
1999,Letónia,,PIB per capita,,,, euros por pessoa,,2870
1999,Lituânia,,PIB per capita,,,, euros por pessoa,,2930
1999,Luxemburgo,,PIB per capita,,,, euros por pessoa,,47640
1999,Malta,,PIB per capita,,,, euros por pessoa,,10150
1999,Países Baixos,,PIB per capita,,,, euros por pessoa,,26570
