01. Ano,02. Nome País (Europa),03. Nome Região (Portugal),04. Indicador,05. Filtro 1,06. Filtro 2,07. Filtro 3,08. Escala,09. Símbolo,10. Valor
2009,Bulgária,,PIB per capita,,,, euros por pessoa,,4930
2009,Chéquia,,PIB per capita,,,, euros por pessoa,,14230
2009,Chipre,,PIB per capita,,,, euros por pessoa,,23110
2009,Croácia,,PIB per capita,,,, euros por pessoa,,10650
2009,Dinamarca,,PIB per capita,,,, euros por pessoa,,42060
2009,Eslováquia,,PIB per capita,,,, euros por pessoa,,11820
2009,Eslovénia,,PIB per capita,,,, euros por pessoa,,17550
2009,Espanha,,PIB per capita,,,, euros por pessoa,,23140
2009,Estónia,,PIB per capita,,,, euros por pessoa,,10580
2009,Finlândia,,PIB per capita,,,, euros por pessoa,,34040
2009,França,,PIB per capita,,,, euros por pessoa,,30040
2009,Grécia,,PIB per capita,,,, euros por pessoa,,21100
2009,Hungria,,PIB per capita,,,, euros por pessoa,,9420
2009,Irlanda,,PIB per capita,,,, euros por pessoa,,37350
2009,Itália,,PIB per capita,,,, euros por pessoa,,26600
2009,Letónia,,PIB per capita,,,, euros por pessoa,,8590
2009,Lituânia,,PIB per capita,,,, euros por pessoa,,8530
2009,Luxemburgo,,PIB per capita,,,, euros por pessoa,,78380
2009,Malta,,PIB per capita,,,, euros por pessoa,,15240
2009,Países Baixos,,PIB per capita,,,, euros por pessoa,,38120
2009,Polónia,,PIB per capita,,,, euros por pessoa,,8330
2009,Portugal,,PIB per capita,,,, euros por pessoa,,16600
2009,Roménia,,PIB per capita,,,, euros por pessoa,,6150
2009,Suécia,,PIB per capita,,,, euros por pessoa,,33670
2010,,Portugal,PIB per capita,,,, euros por pessoa,,17011
2010,Alemanha,,PIB per capita,,,, euros por pessoa,,32580
2010,Áustria,,PIB per capita,,,, euros por pessoa,,35170
2010,Bélgica,,PIB per capita,,,, euros por pessoa,,33340
2010,Bulgária,,PIB per capita,,,, euros por pessoa,,5080
2010,Chéquia,,PIB per capita,,,, euros por pessoa,,15170
2010,Chipre,,PIB per capita,,,, euros por pessoa,,23460
2010,Croácia,,PIB per capita,,,, euros por pessoa,,10700
2010,Dinamarca,,PIB per capita,,,, euros por pessoa,,43880
2010,Eslováquia,,PIB per capita,,,, euros por pessoa,,12660
2010,Eslovénia,,PIB per capita,,,, euros por pessoa,,17600
2010,Espanha,,PIB per capita,,,, euros por pessoa,,23130
2010,Estónia,,PIB per capita,,,, euros por pessoa,,11060
2010,Finlândia,,PIB per capita,,,, euros por pessoa,,35080
2010,França,,PIB per capita,,,, euros por pessoa,,30830
2010,Grécia,,PIB per capita,,,, euros por pessoa,,20100
2010,Hungria,,PIB per capita,,,, euros por pessoa,,9960
2010,Irlanda,,PIB per capita,,,, euros por pessoa,,36680
2010,Itália,,PIB per capita,,,, euros por pessoa,,27050
2010,Letónia,,PIB per capita,,,, euros por pessoa,,8380
2010,Lituânia,,PIB per capita,,,, euros por pessoa,,8930
2010,Luxemburgo,,PIB per capita,,,, euros por pessoa,,83550
2010,Malta,,PIB per capita,,,, euros por pessoa,,16550
2010,Países Baixos,,PIB per capita,,,, euros por pessoa,,38700
2010,Polónia,,PIB per capita,,,, euros por pessoa,Quebra de série,9490
2010,Portugal,,PIB per capita,,,, euros por pessoa,,17010
2010,Roménia,,PIB per capita,,,, euros por pessoa,,6340
2010,Suécia,,PIB per capita,,,, euros por pessoa,,39710
2011,,Portugal,PIB per capita,,,, euros por pessoa,,16674
2011,Alemanha,,PIB per capita,,,, euros por pessoa,,34220
2011,Áustria,,PIB per capita,,,, euros por pessoa,,36740
2011,Bélgica,,PIB per capita,,,, euros por pessoa,,34310
2011,Bulgária,,PIB per capita,,,, euros por pessoa,,5640
2011,Chéquia,,PIB per capita,,,, euros por pessoa,,15870
2011,Chipre,,PIB per capita,,,, euros por pessoa,,23340
2011,Croácia,,PIB per capita,,,, euros por pessoa,r,10680
2011,Dinamarca,,PIB per capita,,,, euros por pessoa,,44540
2011,Eslováquia,,PIB per capita,,,, euros por pessoa,Quebra de série,13270
2011,Eslovénia,,PIB per capita,,,, euros por pessoa,,17920
2011,Espanha,,PIB per capita,,,, euros por pessoa,,22870
2011,Estónia,,PIB per capita,,,, euros por pessoa,,12590
2011,Finlândia,,PIB per capita,,,, euros por pessoa,,36680
2011,França,,PIB per capita,,,, euros por pessoa,,31700
2011,Grécia,,PIB per capita,,,, euros por pessoa,,18320
2011,Hungria,,PIB per capita,,,, euros por pessoa,,10230
2011,Irlanda,,PIB per capita,,,, euros por pessoa,,37810
2011,Itália,,PIB per capita,,,, euros por pessoa,,27610
2011,Letónia,,PIB per capita,,,, euros por pessoa,,9240
2011,Lituânia,,PIB per capita,,,, euros por pessoa,,10260
2011,Luxemburgo,,PIB per capita,,,, euros por pessoa,,85330
2011,Malta,,PIB per capita,,,, euros por pessoa,,16890
2011,Países Baixos,,PIB per capita,,,, euros por pessoa,,39300
2011,Polónia,,PIB per capita,,,, euros por pessoa,,9970
2011,Portugal,,PIB per capita,,,, euros por pessoa,,16670
2011,Roménia,,PIB per capita,,,, euros por pessoa,,6880
2011,Suécia,,PIB per capita,,,, euros por pessoa,,43420
2012,,Portugal,PIB per capita,,,, euros por pessoa,,16003
2012,Alemanha,,PIB per capita,,,, euros por pessoa,,34820
2012,Áustria,,PIB per capita,,,, euros por pessoa,,37570
2012,Bélgica,,PIB per capita,,,, euros por pessoa,,34930
2012,Bulgária,,PIB per capita,,,, euros por pessoa,,5820
2012,Chéquia,,PIB per capita,,,, euros por pessoa,,15590
2012,Chipre,,PIB per capita,,,, euros por pessoa,,22610
2012,Croácia,,PIB per capita,,,, euros por pessoa,"Quebra de série, r",10540
2012,Dinamarca,,PIB per capita,,,, euros por pessoa,,45490
2012,Eslováquia,,PIB per capita,,,, euros por pessoa,,13640
2012,Eslovénia,,PIB per capita,,,, euros por pessoa,,17470
2012,Espanha,,PIB per capita,,,, euros por pessoa,,22160
2012,Estónia,,PIB per capita,,,, euros por pessoa,,13650
2012,Finlândia,,PIB per capita,,,, euros por pessoa,,37010
2012,França,,PIB per capita,,,, euros por pessoa,,31950
2012,Grécia,,PIB per capita,,,, euros por pessoa,"Pro, r",16830
2012,Hungria,,PIB per capita,,,, euros por pessoa,Quebra de série,10090
2012,Irlanda,,PIB per capita,,,, euros por pessoa,,38420
2012,Itália,,PIB per capita,,,, euros por pessoa,,27130
2012,Letónia,,PIB per capita,,,, euros por pessoa,,10460
2012,Lituânia,,PIB per capita,,,, euros por pessoa,,11120
2012,Luxemburgo,,PIB per capita,,,, euros por pessoa,,87540
2012,Malta,,PIB per capita,,,, euros por pessoa,,17820
2012,Países Baixos,,PIB per capita,,,, euros por pessoa,,39290
2012,Polónia,,PIB per capita,,,, euros por pessoa,,10190
2012,Portugal,,PIB per capita,,,, euros por pessoa,,16000
2012,Roménia,,PIB per capita,,,, euros por pessoa,,6940
2012,Suécia,,PIB per capita,,,, euros por pessoa,,44960
2013,,Portugal,PIB per capita,,,, euros por pessoa,,16295
2013,Alemanha,,PIB per capita,,,, euros por pessoa,,35600
2013,Áustria,,PIB per capita,,,, euros por pessoa,,37890
2013,Bélgica,,PIB per capita,,,, euros por pessoa,,35360
2013,Bulgária,,PIB per capita,,,, euros por pessoa,,5870
2013,Chéquia,,PIB per capita,,,, euros por pessoa,,15280
2013,Chipre,,PIB per capita,,,, euros por pessoa,,20940
2013,Croácia,,PIB per capita,,,, euros por pessoa,r,10590
2013,Dinamarca,,PIB per capita,,,, euros por pessoa,,46240
2013,Eslováquia,,PIB per capita,,,, euros por pessoa,,13790
2013,Eslovénia,,PIB per capita,,,, euros por pessoa,,17500
2013,Espanha,,PIB per capita,,,, euros por pessoa,,22020
2013,Estónia,,PIB per capita,,,, euros por pessoa,,14520
2013,Finlândia,,PIB per capita,,,, euros por pessoa,,37410
2013,França,,PIB per capita,,,, euros por pessoa,,32280
2013,Grécia,,PIB per capita,,,, euros por pessoa,"Pro, r",16240
2013,Hungria,,PIB per capita,,,, euros por pessoa,,10350
2013,Irlanda,,PIB per capita,,,, euros por pessoa,,39590
2013,Itália,,PIB per capita,,,, euros por pessoa,,26880
2013,Letónia,,PIB per capita,,,, euros por pessoa,,10930
2013,Lituânia,,PIB per capita,,,, euros por pessoa,,11780
2013,Luxemburgo,,PIB per capita,,,, euros por pessoa,,90030
2013,Malta,,PIB per capita,,,, euros por pessoa,,19120
2013,Países Baixos,,PIB per capita,,,, euros por pessoa,,39610
2013,Polónia,,PIB per capita,,,, euros por pessoa,,10260
2013,Portugal,,PIB per capita,,,, euros por pessoa,,16300
2013,Roménia,,PIB per capita,,,, euros por pessoa,,7150
2013,Suécia,,PIB per capita,,,, euros por pessoa,,45820
2014,,Portugal,PIB per capita,,,, euros por pessoa,,16621
2014,Alemanha,,PIB per capita,,,, euros por pessoa,,36960
2014,Áustria,,PIB per capita,,,, euros por pessoa,,38640
2014,Bélgica,,PIB per capita,,,, euros por pessoa,,36130
2014,Bulgária,,PIB per capita,,,, euros por pessoa,,6080
2014,Chéquia,,PIB per capita,,,, euros por pessoa,,15140
2014,Chipre,,PIB per capita,,,, euros por pessoa,,20320
2014,Croácia,,PIB per capita,,,, euros por pessoa,r,10560
2014,Dinamarca,,PIB per capita,,,, euros por pessoa,,47070
2014,Eslováquia,,PIB per capita,,,, euros por pessoa,,14130
2014,Eslovénia,,PIB per capita,,,, euros por pessoa,,18080
2014,Espanha,,PIB per capita,,,, euros por pessoa,,22380
2014,Estónia,,PIB per capita,,,, euros por pessoa,,15480
2014,Finlândia,,PIB per capita,,,, euros por pessoa,,37690
2014,França,,PIB per capita,,,, euros por pessoa,,32620
2014,Grécia,,PIB per capita,,,, euros por pessoa,"Pro, r",16160
2014,Hungria,,PIB per capita,,,, euros por pessoa,,10810
2014,Irlanda,,PIB per capita,,,, euros por pessoa,,43120
2014,Itália,,PIB per capita,,,, euros por pessoa,,27120
2014,Letónia,,PIB per capita,,,, euros por pessoa,,11430
2014,Lituânia,,PIB per capita,,,, euros por pessoa,,12400
2014,Luxemburgo,,PIB per capita,,,, euros por pessoa,,92760
2014,Malta,,PIB per capita,,,, euros por pessoa,,20620
2014,Países Baixos,,PIB per capita,,,, euros por pessoa,,40240
2014,Polónia,,PIB per capita,,,, euros por pessoa,,10750
2014,Portugal,,PIB per capita,,,, euros por pessoa,,16620
2014,Roménia,,PIB per capita,,,, euros por pessoa,,7560
2014,Suécia,,PIB per capita,,,, euros por pessoa,,44930
2015,,Portugal,PIB per capita,,,, euros por pessoa,,17279
2015,Alemanha,,PIB per capita,,,, euros por pessoa,,37950
2015,Áustria,,PIB per capita,,,, euros por pessoa,,39640
2015,Bélgica,,PIB per capita,,,, euros por pessoa,,36860
2015,Bulgária,,PIB per capita,,,, euros por pessoa,,6560
2015,Chéquia,,PIB per capita,,,, euros por pessoa,,16230
2015,Chipre,,PIB per capita,,,, euros por pessoa,,20810
2015,Croácia,,PIB per capita,,,, euros por pessoa,r,10960
2015,Dinamarca,,PIB per capita,,,, euros por pessoa,,47900
2015,Eslováquia,,PIB per capita,,,, euros por pessoa,,14820
2015,Eslovénia,,PIB per capita,,,, euros por pessoa,,18660
2015,Espanha,,PIB per capita,,,, euros por pessoa,,23440
2015,Estónia,,PIB per capita,,,, euros por pessoa,,16000
2015,Finlândia,,PIB per capita,,,, euros por pessoa,,38350
2015,França,,PIB per capita,,,, euros por pessoa,,33200
2015,Grécia,,PIB per capita,,,, euros por pessoa,"Pro, r",16210
2015,Hungria,,PIB per capita,,,, euros por pessoa,,11520
2015,Irlanda,,PIB per capita,,,, euros por pessoa,,57980
2015,Itália,,PIB per capita,,,, euros por pessoa,,27620
2015,Letónia,,PIB per capita,,,, euros por pessoa,,12010
2015,Lituânia,,PIB per capita,,,, euros por pessoa,,12860
2015,Luxemburgo,,PIB per capita,,,, euros por pessoa,,95090
2015,Malta,,PIB per capita,,,, euros por pessoa,,23000
2015,Países Baixos,,PIB per capita,,,, euros por pessoa,,41270
2015,Polónia,,PIB per capita,,,, euros por pessoa,,11390
2015,Portugal,,PIB per capita,,,, euros por pessoa,,17280
2015,Roménia,,PIB per capita,,,, euros por pessoa,,8090
2015,Suécia,,PIB per capita,,,, euros por pessoa,,46160
2016,,Portugal,PIB per capita,,,, euros por pessoa,,17996
2016,Alemanha,,PIB per capita,,,, euros por pessoa,,39030
2016,Áustria,,PIB per capita,,,, euros por pessoa,,40690
2016,Bélgica,,PIB per capita,,,, euros por pessoa,,37810
2016,Bulgária,,PIB per capita,,,, euros por pessoa,,7070
2016,Chéquia,,PIB per capita,,,, euros por pessoa,,17040
2016,Chipre,,PIB per capita,,,, euros por pessoa,,21930
2016,Croácia,,PIB per capita,,,, euros por pessoa,r,11610
2016,Dinamarca,,PIB per capita,,,, euros por pessoa,,49270
2016,Eslováquia,,PIB per capita,,,, euros por pessoa,,15030
2016,Eslovénia,,PIB per capita,,,, euros por pessoa,,19380
2016,Espanha,,PIB per capita,,,, euros por pessoa,,24190
2016,Estónia,,PIB per capita,,,, euros por pessoa,,16860
2016,Finlândia,,PIB per capita,,,, euros por pessoa,,39250
2016,França,,PIB per capita,,,, euros por pessoa,,33530
2016,Grécia,,PIB per capita,,,, euros por pessoa,"Pro, r",16190
2016,Hungria,,PIB per capita,,,, euros por pessoa,,11950
2016,Irlanda,,PIB per capita,,,, euros por pessoa,,58060
2016,Itália,,PIB per capita,,,, euros por pessoa,,28360
2016,Letónia,,PIB per capita,,,, euros por pessoa,,12500
2016,Lituânia,,PIB per capita,,,, euros por pessoa,,13490
2016,Luxemburgo,,PIB per capita,,,, euros por pessoa,,96230
2016,Malta,,PIB per capita,,,, euros por pessoa,,23900
2016,Países Baixos,,PIB per capita,,,, euros por pessoa,,42290
2016,Polónia,,PIB per capita,,,, euros por pessoa,,11270
2016,Portugal,,PIB per capita,,,, euros por pessoa,,18000
2016,Roménia,,PIB per capita,,,, euros por pessoa,,8500
2016,Suécia,,PIB per capita,,,, euros por pessoa,,46790
2017,,Portugal,PIB per capita,,,, euros por pessoa,,18908
2017,Alemanha,,PIB per capita,,,, euros por pessoa,,40630
2017,Áustria,,PIB per capita,,,, euros por pessoa,,41760
2017,Bélgica,,PIB per capita,,,, euros por pessoa,,38980
2017,Bulgária,,PIB per capita,,,, euros por pessoa,,7720
2017,Chéquia,,PIB per capita,,,, euros por pessoa,,18700
2017,Chipre,,PIB per capita,,,, euros por pessoa,,23230
2017,Croácia,,PIB per capita,,,, euros por pessoa,r,12430
2017,Dinamarca,,PIB per capita,,,, euros por pessoa,,51060
2017,Eslováquia,,PIB per capita,,,, euros por pessoa,,15620
2017,Eslovénia,,PIB per capita,,,, euros por pessoa,,20630
2017,Espanha,,PIB per capita,,,, euros por pessoa,,25160
2017,Estónia,,PIB per capita,,,, euros por pessoa,,18480
2017,Finlândia,,PIB per capita,,,, euros por pessoa,,40790
2017,França,,PIB per capita,,,, euros por pessoa,,34290
2017,Grécia,,PIB per capita,,,, euros por pessoa,"Pro, r",16490
2017,Hungria,,PIB per capita,,,, euros por pessoa,,13080
2017,Irlanda,,PIB per capita,,,, euros por pessoa,,63960
2017,Itália,,PIB per capita,,,, euros por pessoa,,29070
2017,Letónia,,PIB per capita,,,, euros por pessoa,,13400
2017,Lituânia,,PIB per capita,,,, euros por pessoa,,14870
2017,Luxemburgo,,PIB per capita,,,, euros por pessoa,,97440
2017,Malta,,PIB per capita,,,, euros por pessoa,,26820
2017,Países Baixos,,PIB per capita,,,, euros por pessoa,,43830
2017,Polónia,,PIB per capita,,,, euros por pessoa,,12360
2017,Portugal,,PIB per capita,,,, euros por pessoa,,18910
2017,Roménia,,PIB per capita,,,, euros por pessoa,,9510
2017,Suécia,,PIB per capita,,,, euros por pessoa,,47210
2018,,Portugal,PIB per capita,,,, euros por pessoa,,19836
2018,Alemanha,,PIB per capita,,,, euros por pessoa,,41800
2018,Áustria,,PIB per capita,,,, euros por pessoa,,43360
2018,Bélgica,,PIB per capita,,,, euros por pessoa,,40210
2018,Bulgária,,PIB per capita,,,, euros por pessoa,r,8340
2018,Chéquia,,PIB per capita,,,, euros por pessoa,,20270
2018,Chipre,,PIB per capita,,,, euros por pessoa,,24660
2018,Croácia,,PIB per capita,,,, euros por pessoa,r,13310
2018,Dinamarca,,PIB per capita,,,, euros por pessoa,,51950
2018,Eslováquia,,PIB per capita,,,, euros por pessoa,,16580
2018,Eslovénia,,PIB per capita,,,, euros por pessoa,,21940
2018,Espanha,,PIB per capita,,,, euros por pessoa,,25950
2018,Estónia,,PIB per capita,,,, euros por pessoa,,20040
2018,Finlândia,,PIB per capita,,,, euros por pessoa,,42040
2018,França,,PIB per capita,,,, euros por pessoa,,35080
2018,Grécia,,PIB per capita,,,, euros por pessoa,"Pro, r",16830
2018,Hungria,,PIB per capita,,,, euros por pessoa,,14070
2018,Irlanda,,PIB per capita,,,, euros por pessoa,,68530
2018,Itália,,PIB per capita,,,, euros por pessoa,,29690
2018,Letónia,,PIB per capita,,,, euros por pessoa,,14620
2018,Lituânia,,PIB per capita,,,, euros por pessoa,,16300
2018,Luxemburgo,,PIB per capita,,,, euros por pessoa,,98870
2018,Malta,,PIB per capita,,,, euros por pessoa,,28240
2018,Países Baixos,,PIB per capita,,,, euros por pessoa,,45690
2018,Polónia,,PIB per capita,,,, euros por pessoa,,13280
2018,Portugal,,PIB per capita,,,, euros por pessoa,,19840
2018,Roménia,,PIB per capita,,,, euros por pessoa,,10510
2018,Suécia,,PIB per capita,,,, euros por pessoa,,45770
2019,,Portugal,PIB per capita,,,, euros por pessoa,,20715
2019,Alemanha,,PIB per capita,,,, euros por pessoa,,43030
2019,Áustria,,PIB per capita,,,, euros por pessoa,,44570
2019,Bélgica,,PIB per capita,,,, euros por pessoa,,41730
2019,Bulgária,,PIB per capita,,,, euros por pessoa,r,9250
2019,Chéquia,,PIB per capita,,,, euros por pessoa,,21740
2019,Chipre,,PIB per capita,,,, euros por pessoa,,26110
2019,Croácia,,PIB per capita,,,, euros por pessoa,r,14130
2019,Dinamarca,,PIB per capita,,,, euros por pessoa,,53040
2019,Eslováquia,,PIB per capita,,,, euros por pessoa,,17340
2019,Eslovénia,,PIB per capita,,,, euros por pessoa,,23050
2019,Espanha,,PIB per capita,,,, euros por pessoa,,26620
2019,Estónia,,PIB per capita,,,, euros por pessoa,,21490
2019,Finlândia,,PIB per capita,,,, euros por pessoa,,43200
2019,França,,PIB per capita,,,, euros por pessoa,,36090
2019,Grécia,,PIB per capita,,,, euros por pessoa,"Pro, r",17270
2019,Hungria,,PIB per capita,,,, euros por pessoa,,15200
2019,Irlanda,,PIB per capita,,,, euros por pessoa,,73230
2019,Itália,,PIB per capita,,,, euros por pessoa,,30200
2019,Letónia,,PIB per capita,,,, euros por pessoa,,15450
2019,Lituânia,,PIB per capita,,,, euros por pessoa,,17520
2019,Luxemburgo,,PIB per capita,,,, euros por pessoa,,100420
2019,Malta,,PIB per capita,,,, euros por pessoa,,28920
2019,Países Baixos,,PIB per capita,,,, euros por pessoa,,47840
2019,Polónia,,PIB per capita,,,, euros por pessoa,,14190
2019,Portugal,,PIB per capita,,,, euros por pessoa,,20710
2019,Roménia,,PIB per capita,,,, euros por pessoa,,11520
2019,Suécia,,PIB per capita,,,, euros por pessoa,,46110
2020,,Portugal,PIB per capita,,,, euros por pessoa,,19358
2020,Alemanha,,PIB per capita,,,, euros por pessoa,,42020
2020,Áustria,,PIB per capita,,,, euros por pessoa,,42650
2020,Bélgica,,PIB per capita,,,, euros por pessoa,,40190
2020,Bulgária,,PIB per capita,,,, euros por pessoa,r,9440
2020,Chéquia,,PIB per capita,,,, euros por pessoa,,20980
2020,Chipre,,PIB per capita,,,, euros por pessoa,,24630
2020,Croácia,,PIB per capita,,,, euros por pessoa,r,12980
2020,Dinamarca,,PIB per capita,,,, euros por pessoa,,53540
2020,Eslováquia,,PIB per capita,,,, euros por pessoa,,17270
2020,Eslovénia,,PIB per capita,,,, euros por pessoa,,22230
2020,Espanha,,PIB per capita,,,, euros por pessoa,,23850
2020,Estónia,,PIB per capita,,,, euros por pessoa,,20960
2020,Finlândia,,PIB per capita,,,, euros por pessoa,,42740
2020,França,,PIB per capita,,,, euros por pessoa,,34280
2020,Grécia,,PIB per capita,,,, euros por pessoa,"Pro, r",15660
2020,Hungria,,PIB per capita,,,, euros por pessoa,,14370
2020,Irlanda,,PIB per capita,,,, euros por pessoa,,75820
2020,Itália,,PIB per capita,,,, euros por pessoa,,28100
2020,Letónia,,PIB per capita,,,, euros por pessoa,,15370
2020,Lituânia,,PIB per capita,,,, euros por pessoa,,17890
2020,Luxemburgo,,PIB per capita,,,, euros por pessoa,,102190
2020,Malta,,PIB per capita,,,, euros por pessoa,,27870
2020,Países Baixos,,PIB per capita,,,, euros por pessoa,,46810
2020,Polónia,,PIB per capita,,,, euros por pessoa,Quebra de série,14310
2020,Portugal,,PIB per capita,,,, euros por pessoa,,19360
2020,Roménia,,PIB per capita,,,, euros por pessoa,,11390
2020,Suécia,,PIB per capita,,,, euros por pessoa,,46180
2021,,Portugal,PIB per capita,,,, euros por pessoa,,20801
2021,Alemanha,,PIB per capita,,,, euros por pessoa,,44910
2021,Áustria,,PIB per capita,,,, euros por pessoa,,45380
2021,Bélgica,,PIB per capita,,,, euros por pessoa,,43680
2021,Bulgária,,PIB per capita,,,, euros por pessoa,r,10960
2021,Chéquia,,PIB per capita,,,, euros por pessoa,,23430
2021,Chipre,,PIB per capita,,,, euros por pessoa,,27850
2021,Croácia,,PIB per capita,,,, euros por pessoa,r,15070
2021,Dinamarca,,PIB per capita,,,, euros por pessoa,,58640
2021,Eslováquia,,PIB per capita,,,, euros por pessoa,"Quebra de série, r",18730
2021,Eslovénia,,PIB per capita,,,, euros por pessoa,,24690
2021,Espanha,,PIB per capita,,,, euros por pessoa,,26090
2021,Estónia,,PIB per capita,,,, euros por pessoa,,23650
2021,Finlândia,,PIB per capita,,,, euros por pessoa,,44890
2021,França,,PIB per capita,,,, euros por pessoa,,36920
2021,Grécia,,PIB per capita,,,, euros por pessoa,"Pro, r",17350
2021,Hungria,,PIB per capita,,,, euros por pessoa,,16090
2021,Irlanda,,PIB per capita,,,, euros por pessoa,,88070
2021,Itália,,PIB per capita,,,, euros por pessoa,,31160
2021,Letónia,,PIB per capita,,,, euros por pessoa,,17130
2021,Lituânia,,PIB per capita,,,, euros por pessoa,,20190
2021,Luxemburgo,,PIB per capita,,,, euros por pessoa,,113920
2021,Malta,,PIB per capita,,,, euros por pessoa,,32210
2021,Países Baixos,,PIB per capita,,,, euros por pessoa,,50850
2021,Polónia,,PIB per capita,,,, euros por pessoa,,15770
2021,Portugal,,PIB per capita,,,, euros por pessoa,,20800
2021,Roménia,,PIB per capita,,,, euros por pessoa,,12590
2021,Suécia,,PIB per capita,,,, euros por pessoa,,51260
2022,,Portugal,PIB per capita,,,, euros por pessoa,,23303
2022,Alemanha,,PIB per capita,,,, euros por pessoa,Pro,48340
2022,Áustria,,PIB per capita,,,, euros por pessoa,,49640
2022,Bélgica,,PIB per capita,,,, euros por pessoa,r,48060
2022,Bulgária,,PIB per capita,,,, euros por pessoa,,13310
2022,Chéquia,,PIB per capita,,,, euros por pessoa,,26670
2022,Chipre,,PIB per capita,,,, euros por pessoa,r,31560
2022,Croácia,,PIB per capita,,,, euros por pessoa,r,17540
2022,Dinamarca,,PIB per capita,,,, euros por pessoa,,64430
2022,Eslováquia,,PIB per capita,,,, euros por pessoa,r,20150
2022,Eslovénia,,PIB per capita,,,, euros por pessoa,,26970
2022,Espanha,,PIB per capita,,,, euros por pessoa,,28790
2022,Estónia,,PIB per capita,,,, euros por pessoa,,27260
2022,Finlândia,,PIB per capita,,,, euros por pessoa,,47890
2022,França,,PIB per capita,,,, euros por pessoa,,38920
2022,Grécia,,PIB per capita,,,, euros por pessoa,Pro,19570
2022,Hungria,,PIB per capita,,,, euros por pessoa,,17550
2022,Irlanda,,PIB per capita,,,, euros por pessoa,,100140
2022,Itália,,PIB per capita,,,, euros por pessoa,,33860
2022,Letónia,,PIB per capita,,,, euros por pessoa,,19130
2022,Lituânia,,PIB per capita,,,, euros por pessoa,,23690
2022,Luxemburgo,,PIB per capita,,,, euros por pessoa,,117100
2022,Malta,,PIB per capita,,,, euros por pessoa,,33790
2022,Países Baixos,,PIB per capita,,,, euros por pessoa,,56140
2022,Polónia,,PIB per capita,,,, euros por pessoa,Quebra de série,17520
2022,Portugal,,PIB per capita,,,, euros por pessoa,,23300
2022,Roménia,,PIB per capita,,,, euros por pessoa,,14740
2022,Suécia,,PIB per capita,,,, euros por pessoa,,51980
2023,,Portugal,PIB per capita,,,, euros por pessoa,,25558
2023,Alemanha,,PIB per capita,,,, euros por pessoa,Pro,50660
2023,Áustria,,PIB per capita,,,, euros por pessoa,,52330
2023,Bélgica,,PIB per capita,,,, euros por pessoa,,51140
2023,Bulgária,,PIB per capita,,,, euros por pessoa,r,14660
2023,Chéquia,,PIB per capita,,,, euros por pessoa,,29330
2023,Chipre,,PIB per capita,,,, euros por pessoa,,33870
2023,Croácia,,PIB per capita,,,, euros por pessoa,,20530
2023,Dinamarca,,PIB per capita,,,, euros por pessoa,,62910
2023,Eslováquia,,PIB per capita,,,, euros por pessoa,r,22640
2023,Eslovénia,,PIB per capita,,,, euros por pessoa,,30200
2023,Espanha,,PIB per capita,,,, euros por pessoa,Pro,30980
2023,Estónia,,PIB per capita,,,, euros por pessoa,,28080
2023,Finlândia,,PIB per capita,,,, euros por pessoa,,48920
2023,França,,PIB per capita,,,, euros por pessoa,Pro,41340
2023,Grécia,,PIB per capita,,,, euros por pessoa,Pro,21300
2023,Hungria,,PIB per capita,,,, euros por pessoa,,20560
2023,Irlanda,,PIB per capita,,,, euros por pessoa,,99080
2023,Itália,,PIB per capita,,,, euros por pessoa,,36330
2023,Letónia,,PIB per capita,,,, euros por pessoa,,21030
2023,Lituânia,,PIB per capita,,,, euros por pessoa,,25880
2023,Luxemburgo,,PIB per capita,,,, euros por pessoa,,122970
2023,Malta,,PIB per capita,,,, euros por pessoa,,37770
2023,Países Baixos,,PIB per capita,,,, euros por pessoa,Pro,58740
2023,Polónia,,PIB per capita,,,, euros por pessoa,,19980
2023,Portugal,,PIB per capita,,,, euros por pessoa,,25560
2023,Roménia,,PIB per capita,,,, euros por pessoa,,16870
2023,Suécia,,PIB per capita,,,, euros por pessoa,,50490
2024,,Portugal,PIB per capita,,,, euros por pessoa,Pro,27063
2024,Alemanha,,PIB per capita,,,, euros por pessoa,Pro,51830
2024,Áustria,,PIB per capita,,,, euros por pessoa,,53830
2024,Bélgica,,PIB per capita,,,, euros por pessoa,Pro,52370
2024,Bulgária,,PIB per capita,,,, euros por pessoa,,16260
2024,Chéquia,,PIB per capita,,,, euros por pessoa,,29440
2024,Chipre,,PIB per capita,,,, euros por pessoa,Pro,35730
2024,Croácia,,PIB per capita,,,, euros por pessoa,Pro,22200
2024,Dinamarca,,PIB per capita,,,, euros por pessoa,,65650
2024,Eslováquia,,PIB per capita,,,, euros por pessoa,r,23850
2024,Eslovénia,,PIB per capita,,,, euros por pessoa,,31700
2024,Espanha,,PIB per capita,,,, euros por pessoa,Pro,32630
2024,Estónia,,PIB per capita,,,, euros por pessoa,,28990
2024,Finlândia,,PIB per capita,,,, euros por pessoa,,49100
2024,França,,PIB per capita,,,, euros por pessoa,Pro,42590
2024,Grécia,,PIB per capita,,,, euros por pessoa,Pro,22480
2024,Hungria,,PIB per capita,,,, euros por pessoa,Pro,21550
2024,Irlanda,,PIB per capita,,,, euros por pessoa,,104510
2024,Itália,,PIB per capita,,,, euros por pessoa,Pro,37310
2024,Letónia,,PIB per capita,,,, euros por pessoa,,21640
