01. Ano,02. Nome Região (Portugal),03. Filtro 1,04. Filtro 2,05. Filtro 3,06. Escala,07. Símbolo,08. Valor
1967,Portugal,Comunicações,,,,,0.00
1967,Portugal,Educação,,,,,3.10
1967,Portugal,"Habitação, água, eletricidade, gás e outros combustíveis",,,,,13.24
1967,Portugal,"Lazer, recreação e cultura",,,,,4.66
1967,Portugal,Produtos alimentares e bebidas não alcoólicas,,,,,0.03
1967,Portugal,Restaurantes e hotéis,,,,,7.05
1967,Portugal,Saúde,,,,,4.27
1967,Portugal,Total,,,,,4.50
1967,Portugal,Transportes,,,,,3.55
1967,Portugal,Vestuário e calçado,,,,,6.07
1968,Portugal,"Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação",,,,,9.16
1968,Portugal,Bebidas alcoólicas e tabaco,,,,,9.57
1968,Portugal,Bens e serviços diversos,,,,,5.04
1968,Portugal,Comunicações,,,,,0.00
1968,Portugal,Educação,,,,,8.03
1968,Portugal,"Habitação, água, eletricidade, gás e outros combustíveis",,,,,10.10
1968,Portugal,"Lazer, recreação e cultura",,,,,10.16
1968,Portugal,Produtos alimentares e bebidas não alcoólicas,,,,,3.40
1968,Portugal,Restaurantes e hotéis,,,,,13.57
1968,Portugal,Saúde,,,,,9.74
1968,Portugal,Total,,,,,5.79
1968,Portugal,Transportes,,,,,3.98
1968,Portugal,Vestuário e calçado,,,,,2.02
1969,Portugal,"Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação",,,,,9.83
1969,Portugal,Bebidas alcoólicas e tabaco,,,,,6.74
1969,Portugal,Bens e serviços diversos,,,,,1.08
1969,Portugal,Comunicações,,,,,0.00
1969,Portugal,Educação,,,,,4.32
1969,Portugal,"Habitação, água, eletricidade, gás e outros combustíveis",,,,,12.50
1969,Portugal,"Lazer, recreação e cultura",,,,,6.92
1969,Portugal,Produtos alimentares e bebidas não alcoólicas,,,,,8.98
1969,Portugal,Restaurantes e hotéis,,,,,5.36
1969,Portugal,Saúde,,,,,4.90
1969,Portugal,Total,,,,,8.59
1969,Portugal,Transportes,,,,,6.83
1969,Portugal,Vestuário e calçado,,,,,1.90
1970,Portugal,"Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação",,,,,10.61
1970,Portugal,Bebidas alcoólicas e tabaco,,,,,12.45
1970,Portugal,Bens e serviços diversos,,,,,9.94
1970,Portugal,Comunicações,,,,,0.00
1970,Portugal,Educação,,,,,9.75
1970,Portugal,"Habitação, água, eletricidade, gás e outros combustíveis",,,,,4.00
1970,Portugal,"Lazer, recreação e cultura",,,,,15.96
1970,Portugal,Produtos alimentares e bebidas não alcoólicas,,,,,1.74
1970,Portugal,Restaurantes e hotéis,,,,,7.57
1970,Portugal,Saúde,,,,,7.15
1970,Portugal,Total,,,,,4.34
1970,Portugal,Transportes,,,,,6.68
1970,Portugal,Vestuário e calçado,,,,,3.08
1971,Portugal,"Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação",,,,,12.16
1971,Portugal,Bebidas alcoólicas e tabaco,,,,,3.59
1971,Portugal,Bens e serviços diversos,,,,,10.06
1971,Portugal,Comunicações,,,,,0.01
1971,Portugal,Educação,,,,,1.14
1971,Portugal,"Habitação, água, eletricidade, gás e outros combustíveis",,,,,23.42
1971,Portugal,"Lazer, recreação e cultura",,,,,0.31
1971,Portugal,Produtos alimentares e bebidas não alcoólicas,,,,,8.74
1971,Portugal,Restaurantes e hotéis,,,,,8.86
1971,Portugal,Saúde,,,,,9.74
1971,Portugal,Total,,,,,10.97
1971,Portugal,Transportes,,,,,0.08
1971,Portugal,Vestuário e calçado,,,,,6.33
1972,Portugal,"Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação",,,,,14.33
1972,Portugal,Bebidas alcoólicas e tabaco,,,,,5.32
1972,Portugal,Bens e serviços diversos,,,,,3.62
1972,Portugal,Comunicações,,,,,0.00
1972,Portugal,Educação,,,,,-3.79
1972,Portugal,"Habitação, água, eletricidade, gás e outros combustíveis",,,,,18.45
1972,Portugal,"Lazer, recreação e cultura",,,,,2.37
1972,Portugal,Produtos alimentares e bebidas não alcoólicas,,,,,10.15
1972,Portugal,Restaurantes e hotéis,,,,,15.63
1972,Portugal,Saúde,,,,,5.60
1972,Portugal,Total,,,,,11.13
1972,Portugal,Transportes,,,,,1.27
1972,Portugal,Vestuário e calçado,,,,,7.73
1973,Portugal,"Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação",,,,,15.14
