01. Ano,02. Nome País (Europa),03. Nome Região (Portugal),04. Filtro 1,05. Filtro 2,06. Filtro 3,07. Escala,08. Símbolo,09. Valor
1998,Itália,,,,,,,1136926.5
1998,Letónia,,,,,,,6230.7
1998,Lituânia,,,,,,,10070.0
1998,Luxemburgo,,,,,,,18005.7
1998,Malta,,,,,,,3581.2
1998,Países Baixos,,,,,,,392001.0
1998,Polónia,,,,,,,155540.9
1998,Portugal,,,,,,,110683.7
1998,Roménia,,,,,,,37063.3
1998,Suécia,,,,,,,241537.8
1998,União Europeia 27,,,,,,,7113359.9
1999,,Portugal,,,,,,119603.3
1999,Alemanha,,,,,,,2077240.0
1999,Áustria,,,,,,,203064.9
1999,Bélgica,,,,,,,242307.6
1999,Bulgária,,,,,,,12804.4
1999,Chéquia,,,,,,,61470.4
1999,Chipre,,,,,,,9839.7
1999,Croácia,,,,,,,22188.9
1999,Dinamarca,,,,,,,166899.4
1999,Eslováquia,,,,,,,19537.0
1999,Eslovénia,,,,,,,21132.4
1999,Espanha,,,,,,,595242.0
1999,Estónia,,,,,,,5406.9
1999,Finlândia,,,,,,,126888.0
1999,França,,,,,,,1395148.0
1999,Grécia,,,,,,,134588.8
1999,Hungria,,,,,,,46121.5
1999,Irlanda,,,,,,,92790.5
1999,Itália,,,,,,,1177549.7
1999,Letónia,,,,,,,6850.7
1999,Lituânia,,,,,,,10339.7
1999,Luxemburgo,,,,,,,20547.8
1999,Malta,,,,,,,3852.1
1999,Países Baixos,,,,,,,420143.0
1999,Polónia,,,,,,,160193.7
1999,Portugal,,,,,,,119603.3
1999,Roménia,,,,,,,33726.8
1999,Suécia,,,,,,,257340.7
1999,União Europeia 27,,,,,,,7442817.9
2000,,Portugal,,,,,,128414.4
2000,Alemanha,,,,,,,2129660.0
2000,Áustria,,,,,,,212406.8
2000,Bélgica,,,,,,,256376.4
2000,Bulgária,,,,,,,14440.0
2000,Chéquia,,,,,,,67409.2
2000,Chipre,,,,,,,10804.6
2000,Croácia,,,,,,,23631.3
2000,Dinamarca,,,,,,,177893.5
2000,Eslováquia,,,,,,,22368.6
2000,Eslovénia,,,,,,,21726.2
2000,Espanha,,,,,,,647569.0
2000,Estónia,,,,,,,6171.6
2000,Finlândia,,,,,,,136386.0
2000,França,,,,,,,1473517.3
2000,Grécia,,,,,,,137827.6
2000,Hungria,,,,,,,51300.9
2000,Irlanda,,,,,,,108495.3
2000,Itália,,,,,,,1244744.2
2000,Letónia,,,,,,,8418.0
2000,Lituânia,,,,,,,12503.7
2000,Luxemburgo,,,,,,,22986.0
2000,Malta,,,,,,,4377.0
2000,Países Baixos,,,,,,,452191.0
2000,Polónia,,,,,,,187532.8
2000,Portugal,,,,,,,128414.4
2000,Roménia,,,,,,,40594.9
2000,Suécia,,,,,,,285224.2
2000,União Europeia 27,,,,,,,7884970.7
2001,,Portugal,,,,,,135775.0
2001,Alemanha,,,,,,,2195530.0
2001,Áustria,,,,,,,219373.3
2001,Bélgica,,,,,,,264334.9
2001,Bulgária,,,,,,,15905.3
2001,Chéquia,,,,,,,76070.6
2001,Chipre,,,,,,,11602.9
2001,Croácia,,,,,,,25936.5
2001,Dinamarca,,,,,,,184146.3
2001,Eslováquia,,,,,,,23869.3
2001,Eslovénia,,,,,,,23018.1
2001,Espanha,,,,,,,700958.0
2001,Estónia,,,,,,,6982.1
2001,Finlândia,,,,,,,144613.0
2001,França,,,,,,,1530070.9
2001,Grécia,,,,,,,147438.7
2001,Hungria,,,,,,,60068.8
2001,Irlanda,,,,,,,122089.2
2001,Itália,,,,,,,1308623.1
2001,Letónia,,,,,,,9182.2
2001,Lituânia,,,,,,,13690.7
2001,Luxemburgo,,,,,,,23879.9
2001,Malta,,,,,,,4546.1
2001,Países Baixos,,,,,,,482941.0
2001,Polónia,,,,,,,213857.2
2001,Portugal,,,,,,,135775.0
2001,Roménia,,,,,,,45143.6
2001,Suécia,,,,,,,270638.2
2001,União Europeia 27,,,,,,,8260284.9
2002,,Portugal,,,,,,142554.3
2002,Alemanha,,,,,,,2223360.0
2002,Áustria,,,,,,,225087.9
2002,Bélgica,,,,,,,273255.9
2002,Bulgária,,,,,,,17478.3
2002,Chéquia,,,,,,,87795.9
2002,Chipre,,,,,,,12083.0
2002,Croácia,,,,,,,28760.9
2002,Dinamarca,,,,,,,189957.5
2002,Eslováquia,,,,,,,26300.3
2002,Eslovénia,,,,,,,24679.7
